"firstname","lastname","university","university_shortname","university_city","function","organization","organization_sector"
"Roland","Fankhauser","Uni Basel","UBA","Basel","Vorstandsmitglied und seit Januar 2015 Präsident","Centrum für Familienwissenschaften","Education & research"
"Georg","Fantner","ETH Lausanne","EPF","Lausanne","Technical consultant","GETec KG, Langenlois, Austria","Industry, construction & agriculture"
"Georg","Fantner","ETH Lausanne","EPF","Lausanne","Technical consultant","SCL-Sensor. Tech. Fabrication GesmbH, Vienna, Austria","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Conseil scientifique","Fondation Ch.-Ed. Guillaume, La Chaux-de-Fonds","Education & research"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Conseiller scientifique, Advisory Board","Ethimedix SA, Nyon","Pharma & health"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Conseiller scientifique, membre du comité d'organisation","Association pour le Concours International de Chronométrie, Le Locle","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Membre ","SSC (Société Suisse de Chronométrie), Neuchâtel","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Membre de l'assemblée générale AG du COSC","Contrôle officiel suisse des chronomètres (COSC), La Chaux-de-Fonds","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Membre du Conseil d'administration d'Asgalium Unitec SA, Consulting et expertises","Asgalium Unitec SA, Cortaillod","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Présidence de la commission technique CT du COSC","COSC (Contrôle Officiel Suisse des Chronomètres), La Chaux-de-Fonds","Industry, construction & agriculture"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Présidence de la Fondation du Prix Omega, Prix Omega scientifique et Prix Omega Etudiants","Fondation du prix Omega, Neuchâtel","Education & research"
"Pierre-André","Farine","Uni Neuenburg","UNE","Neuchâtel","Vice-président","Collegium International SMYLE en microtechnique, Besançon","Education & research"
"Ambrogio","Fasoli","ETH Lausanne","EPF","Lausanne","Editor-in-Chief, Nuclear Fusion Journal","IAEA, Vienna, Austria","Energy, environment & mobility"
"Anne-Christine","Favre","Uni Lausanne","ULA","Lausanne","NA","Activités académiques","Education & research"
"Martin","Fey","Uni Bern","UBE","Bern","NA","Berger-Janser-Stiftung, Bern","Pharma & health"
"Damir","Filipovic","ETH Lausanne","EPF","Lausanne","Member of the Board of Directors","Swiss Life Holding Ltd","Financial industry & insurances"
"Matthias","Finger","ETH Lausanne","EPF","Lausanne","Florence School of regulation, Transport Area (organisation de 6 workshops en 2013)","European University Institute, Florence, Italy","Education & research"
"Matthias","Finger","ETH Lausanne","EPF","Lausanne","Membre ","EICom, Commission Fédérale de la Régulation du Marché de l'Electricté, Bern","Politics, administration, justice system & security sector"
"Matthias","Finger","ETH Lausanne","EPF","Lausanne","Vice-président","SKE, Commission Fédérale d'Arbitrage dans le Secteur du Rail, Berne","Energy, environment & mobility"
"Peter Mathias","Fischer","Uni St. Gallen","USG","Saint Gallen","Co-Founder","Sound Leadership LLC","Consulting, public relations, legal & trust"
"Peter Mathias","Fischer","Uni St. Gallen","USG","Saint Gallen","Gründer und Leiter der Regionalgruppe Ostschweiz/Vorarlberg","AbsolventUM","Education & research"
"Peter Mathias","Fischer","Uni St. Gallen","USG","Saint Gallen","National Representative Switzerland and Member of the Executive Committee","European Marketing Academy EMAC","Education & research"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","42matters AG","Technology"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","BEN Energy AG","Technology"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","coresystems ag","Technology"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Dacuda AG","Technology"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Elgar Fleisch Management Services AG","Consulting, public relations, legal & trust"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Hoval Holding AG","Financial industry & insurances"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Interhoval AG","Financial industry & insurances"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","qipp AG","Technology"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Schweizerische Mobiliar Genossenschaft","Financial industry & insurances"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","Schweizerische Mobiliar Holding AG","Financial industry & insurances"
"Elgar","Fleisch","Uni St. Gallen","USG","Saint Gallen","VR-Mandat","UCTec Beteiligungsgesellschaft AG","Financial industry & insurances"
"Dario","Floreano","ETH Lausanne","EPF","Lausanne","Harvard Wyss Institute: Visiting Professor (September-December 2014, while on leave)","SEAS Harvard, Cambridge, USA","Education & research"
"Dario","Floreano","ETH Lausanne","EPF","Lausanne","NASA/Caltech Jet Propulsion Laboratory: Visiting researcher (July-August 2014, while on leave)","JPL, Pasadena, USA","Education & research"
"Gerd","Folkers","Uni Basel","UBA","Basel","VR-Mandat","AZAD Pharmaceutical Ingredients AG","Pharma & health"
"Gerd","Folkers","Uni Basel","UBA","Basel","VR-Präsidium","PNN Pharma Nation Network AG","Pharma & health"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Bankrat","Schwyzer Kantonalbank","Financial industry & insurances"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Mitglied der Programmkommission","Avenir Suisse","Society, Social, Culture & Sports"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Mitglied des geschäftsleitenden Ausschusses","SEW-HSG","Education & research"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Mitglied des VR","Löwetz Immobilien AG","Commerce, trade & services"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Verwaltungsratspräsident","R&M Immobilien AG","Commerce, trade & services"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Vorsitz EG Wirtschaftsstatistik","Bundesamt für Statistik","Politics, administration, justice system & security sector"
"Reto","Föllmi","Uni St. Gallen","USG","Saint Gallen","Vorstandsmitglied","Schweiz. Gesellschaft für Volkswirtschaft und Statistik","Commerce, trade & services"
"Mario","Fontana","ETH Zürich","ETH","Zurich","Geschäftsführer","F-Ingenieur GmbH","Commerce, trade & services"
"Anna","Fontcuberta Morral","ETH Lausanne","EPF","Lausanne","Expertise de projet","Fonds de Recherche Luxembourg","Education & research"
"Anna","Fontcuberta Morral","ETH Lausanne","EPF","Lausanne","Expertise de projet","Science Foundation Ireland","Education & research"
"Anna","Fontcuberta Morral","ETH Lausanne","EPF","Lausanne","Expertise de projet","Stifelsen Strtegisk Froskning, Sweden","Education & research"
"Anna","Fontcuberta Morral","ETH Lausanne","EPF","Lausanne","Expertise de projet","Université Freiburg (Allemagne)","Education & research"
"Anna","Fontcuberta Morral","ETH Lausanne","EPF","Lausanne","Participation au conseil scientifique","CSEM, Neuchâtel","Education & research"
"Dominique","Foray","ETH Lausanne","EPF","Lausanne","Consulting","EPFL-TTO","Education & research"
"Dominique","Foray","ETH Lausanne","EPF","Lausanne","Expertise","Gesellschaft für Wissenschaftstatistik, EFI, Berlin","Education & research"
"Dominique","Foray","ETH Lausanne","EPF","Lausanne","Expertise","SEFRI, Bern","Politics, administration, justice system & security sector"
"Dominique","Foray","ETH Lausanne","EPF","Lausanne","Expertise","SNF, Bern","Education & research"
"Dominique","Foray","ETH Lausanne","EPF","Lausanne","Expertise","Uni StGall, St. Gallen","Education & research"
"Peter","Fornaro","Uni Basel","UBA","Basel","Präsident des Verwaltungsrates","Bitsave AG, Kehrsatz","Technology"
"László","Forró","ETH Lausanne","EPF","Lausanne","Chair of the Int. Advisory Board and consultant","Nano Center of Serbia, Belgrade ","Education & research"
"Till","Förster","Uni Basel","UBA","Basel","Mitglied des Stiftungsrates","Basel Institute on Governance","Politics, administration, justice system & security sector"
"Joseph","Francois","Uni Bern","UBE","Bern","NA","Board Member, European Trade Study Group","Education & research"
"Joseph","Francois","Uni Bern","UBE","Bern","NA","Board Member, Global Trade Analysis Project","Education & research"
"Joseph","Francois","Uni Bern","UBE","Bern","NA","Board Member, Institute for Int'l & Development Econ.","Education & research"
"Geraldine","Frei","Uni St. Gallen","USG","Saint Gallen","Mitglied des Verwaltungsrates","NeueBank AG","Financial industry & insurances"
"Geraldine","Frei","Uni St. Gallen","USG","Saint Gallen","Mitglied des Verwaltungsrates","St. Galler Kantonalbank AG","Financial industry & insurances"
"Geraldine","Frei","Uni St. Gallen","USG","Saint Gallen","Vorsitzender des Verwaltungsrates","Algofin AG","Consulting, public relations, legal & trust"
"Thomas","Friedli","Uni St. Gallen","USG","Saint Gallen","Dozent Qualitäts- und Prozessmanagement","EMBA","Education & research"
"Thomas","Friedli","Uni St. Gallen","USG","Saint Gallen","Dozent Qualitäts- und Prozessmanagement","SMBS","Education & research"
"Thomas","Friedli","Uni St. Gallen","USG","Saint Gallen","Dozent Qualitäts- und Prozessmanagement","Universität Salzburg","Education & research"
"Thomas","Friedli","Uni St. Gallen","USG","Saint Gallen","Mitglied strategisches Advisory Board","RUAG","Industry, construction & agriculture"
"Thomas","Friedli","Uni St. Gallen","USG","Saint Gallen","Verwaltungsrat","Schuh & Co.","Consulting, public relations, legal & trust"
"Martin","Fröhlich","ETH Lausanne","EPF","Lausanne","Bureau d'architecture, Fondateur","AFF Architekten, Berlin, Germany","Industry, construction & agriculture"
"Emmanuel","Frossard","ETH Zürich","ETH","Zurich","Stiftungsrat","Walter Hochstrasser-Stiftung","Education & research"
"Pascal","Fua","ETH Lausanne","EPF","Lausanne","Advising","PlayfulVision EPFL ","Technology"
"Pascal","Fua","ETH Lausanne","EPF","Lausanne","Consulting","Pix4D EPFL Innovation Park","Technology"
"Roland","Füss","Uni St. Gallen","USG","Saint Gallen","Lehrtätigkeit","CUREM","Education & research"
"Roland","Füss","Uni St. Gallen","USG","Saint Gallen","Lehrtätigkeit","EBS Universität","Education & research"
"Roland","Füss","Uni St. Gallen","USG","Saint Gallen","Vortragstätigkeit (einmalig)","Swiss&Global","Financial industry & insurances"
"Alexander","Fust","Uni St. Gallen","USG","Saint Gallen","Dozent","CTI-Entrepreneurship","Commerce, trade & services"
"Alexander","Fust","Uni St. Gallen","USG","Saint Gallen","Dozent","FHS St. Gallen","Education & research"
"Alexander","Fust","Uni St. Gallen","USG","Saint Gallen","Fachexperte und Coach für Designer Startups","Creative Hub","Commerce, trade & services"
"Karl","Gademann","Uni Zürich","UZH","Zurich","Vorstandsmitglied","Schweizerische Akademie der Naturwissenschaften SCNAT Bern","Education & research"
"Pascal","Gantenbein","Uni Basel","UBA","Basel","Mitglied des Verwaltungsrates","Hoffmann & Co. AG, Basel","Consulting, public relations, legal & trust"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Audit Expert Group","Schindler","Industry, construction & agriculture"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Gründer und Verwaltungsrat","Avatarion Technology","Technology"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Gründer und Verwaltungsrat","BGW Management Advisory Group","Consulting, public relations, legal & trust"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Gründer und Verwaltungsrat","BMI-Lab","Education & research"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Gründer, Co-Director","GLORAD","Education & research"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","International Advisory Board","Alexander von Humboldt Institut für Internet & Society","Education & research"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Miglied Forschungs- und Bildungskommission","Economiesuisse","Commerce, trade & services"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Verwaltungsrat","Hoffmann Neopac","Industry, construction & agriculture"
"Oliver","Gassmann","Uni St. Gallen","USG","Saint Gallen","Verwaltungsrat","Zühlke","Consulting, public relations, legal & trust"
"Michael","Gastpar","ETH Lausanne","EPF","Lausanne","Academic Affiliation (unpaid)","Delft University of Technology","Education & research"
"Michael","Gastpar","ETH Lausanne","EPF","Lausanne","Academic Affiliation (unpaid)","University of California, Berkeley","Education & research"
"Kersten","Geers","ETH Lausanne","EPF","Lausanne","Founding Member","San Rocco Magazine, Milano, Italy","Media & communication"
"Kersten","Geers","ETH Lausanne","EPF","Lausanne","Founding Partner","Office KGDVS, Brussels","Industry, construction & agriculture"
"Kersten","Geers","ETH Lausanne","EPF","Lausanne","Residency","Canadian Centre for Architecture, Montréal, Canada","Industry, construction & agriculture"
"Kersten","Geers","ETH Lausanne","EPF","Lausanne","Workshop","Faculty of Architecture, Slipakorn University, Bankok","Education & research"
"Kersten","Geers","ETH Lausanne","EPF","Lausanne","Workshop Roman Architecture","Porto Academy, Portugal","Education & research"
"Thomas","Geiser","Uni St. Gallen","USG","Saint Gallen","NA","Rehaklinik Heiligenschwendi","Pharma & health"
"Nikolaos","Geroliminis","ETH Lausanne","EPF","Lausanne","Advising on traffic management for the city of Sydney","UNSW Australia, Australian Center for Commercial Mathematics, Sydney","Education & research"
"Nikolaos","Geroliminis","ETH Lausanne","EPF","Lausanne","Development of analysis tools","Minnesota Traffic Observatory, University of Minnesota, USA","Education & research"
"Wulfram","Gerstner","ETH Lausanne","EPF","Lausanne","Scientific advisory board","Center for Integrative Neuroscience (CIN), University of Tübingen","Education & research"
"Rajna Nicole","Gibson Brandon","Uni Genf","UGE","Geneva","Membre du conseil d'administration","Swiss Re","Financial industry & insurances"
"Martinus","Gijs","ETH Lausanne","EPF","Lausanne","Project review work, proposal evaluation","European Commission","Politics, administration, justice system & security sector"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Administrateur de la Fondation","Fondation Bullukian","Society, Social, Culture & Sports"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Membre du Conseil d'Administration","Société BioMérieux","Pharma & health"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Membre du Conseil de la Fondation","Fondation BNP Paribas pour le mécénat","Financial industry & insurances"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Membre du Conseil de la Fondation","Fondation Elemo","Education & research"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Président de la Fondation","Fondation IQRGC","Not classifiable"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Président du Board du Human Brain Project","Human Brain Project","Education & research"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Président du conseil d'Administration","Institut de Physique du Globe de Paris","Education & research"
"Philippe","Gillet","ETH Lausanne","EPF","Lausanne","Président du Conseil de l'Ecole","Ecole VetAgro Sup","Education & research"
"Hubert","Girault","ETH Lausanne","EPF","Lausanne","Associate Editor - Chemical Science","Royal Society of Chemistry, Cambridge, UK","Education & research"
"Hubert","Girault","ETH Lausanne","EPF","Lausanne","Membre de la commission fédérale d'examen, nommé par le Conseil Fédéral ; domaine : électrochimie","Direction générale des douanes, Berne","Politics, administration, justice system & security sector"
"Hubert","Girault","ETH Lausanne","EPF","Lausanne","Membre du Conseil de Fondation, vice-président ; domaine : éditions scientifiques","PPUR - EPFL","Education & research"
"Hubert","Girault","ETH Lausanne","EPF","Lausanne","Membre du Jury et Mentor ; domaine : promotion de la recherche scientifique","Fondation Carnot, Neuilly s/Seine","Education & research"
"Nicolas","Gisin","Uni Genf","UGE","Geneva","Membre du conseil d'administraiton","ID Quantique SA","Technology"
"Rémy","Glardon","ETH Lausanne","EPF","Lausanne","Conseil en gestion d'entreprise","NGL Cleaning Technology SA, Nyon","Technology"
"Pierre","Gönczy","ETH Lausanne","EPF","Lausanne","Scientific Board (no income)","Novartis Consumer Health Foundation, Nyon","Pharma & health"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Conseil de fondation et Conseil Scientifique de la Fondation Jeantet","Fondation Jeantet, Genève","Pharma & health"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Conseil scientifique","Fondation Bettencourt, Paris","Society, Social, Culture & Sports"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Conseil Suisse de la Science et de l'Innovation","CSSI Bern","Politics, administration, justice system & security sector"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Diverses commissions du SNF","SNF Bern","Education & research"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","EMBO YIP (Young Investigator Program) committee","EMBO, Heidelberg","Education & research"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Scientific Advisory Board","Laboratory of Excellence (Labex) INFORM","Education & research"
"Françoise Gisou van der","Goot Grunberg","ETH Lausanne","EPF","Lausanne","Scientific Advisory Board Clinical Research Department","Univ Bern","Education & research"
"Bruno","Gottstein","Uni Bern","UBE","Bern","NA","Jean-Pierre Miéville-Stiftung","Education & research"
"Michael","Graetzel","ETH Lausanne","EPF","Lausanne","Honorary Editor of Nano Journal","SAINT, SKKU","Education & research"
"Michael","Graetzel","ETH Lausanne","EPF","Lausanne","Scientific Advisor","DYESOL","Energy, environment & mobility"
"Michael","Graetzel","ETH Lausanne","EPF","Lausanne","Scientific Advisor","G24 Power","Energy, environment & mobility"
"Michael","Graetzel","ETH Lausanne","EPF","Lausanne","Scientific Advisor","NTU, Singapore","Education & research"
"Franz","Graf","USI Lugano","USI","Lugano","Architecte indépendant à Genève","F. Graf & J. Menoud, Carouge","Industry, construction & agriculture"
"Franz","Graf","USI Lugano","USI","Lugano","Professeur ordinaire","Università della Svizzera italiana, Accademia di Architettura","Education & research"
"Fabio Matteo","Gramazio","ETH Zürich","ETH","Zurich","VR-Mandat","ROB Technologies AG","Commerce, trade & services"
"Nicolas","Grandjean","ETH Lausanne","EPF","Lausanne","Conseil scientifique","CEA-LETI, France","Education & research"
"Nicolas","Grandjean","ETH Lausanne","EPF","Lausanne","Conseil scientifique","Nanodimension AG, Suisse","Financial industry & insurances"
"Nicolas","Grandjean","ETH Lausanne","EPF","Lausanne","Expertise scientifique, Institut de recherche","Leibnitz Association, Germany","Education & research"
"Nicolas","Grandjean","ETH Lausanne","EPF","Lausanne","Expertise scientifique, projets de recherche","Ministry of Education, Singapore","Politics, administration, justice system & security sector"
"Dietmar","Grichnik","Uni St. Gallen","USG","Saint Gallen","Gesellschafter","Particulate","Not classifiable"
"Dietmar","Grichnik","Uni St. Gallen","USG","Saint Gallen","Gründer und Gesellschafter","Scienovation","Commerce, trade & services"
"Dietmar","Grichnik","Uni St. Gallen","USG","Saint Gallen","Inhaber","Dietmar Grichnik Entrepreneurial Management GmbH","Consulting, public relations, legal & trust"
"Dietmar","Grichnik","Uni St. Gallen","USG","Saint Gallen","Mitglied des Beirats","Stiftung Social Funders","Politics, administration, justice system & security sector"
"Dietmar","Grichnik","Uni St. Gallen","USG","Saint Gallen","Präsident","Swiss Startup Monitor Stiftung","Commerce, trade & services"
"Markus Hans","Gross","ETH Zürich","ETH","Zurich","Direktor (wissenschaftlicher Co Direktor)","The Walt Disney Company (Switzerland) GmbH","Society, Social, Culture & Sports"
"Markus Hans","Gross","ETH Zürich","ETH","Zurich","VR-Mandat","Dybuster AG","Technology"
"Markus Hans","Gross","ETH Zürich","ETH","Zurich","VR-Präsidium","Gimalon AG","Technology"
"Gudela","Grote","ETH Zürich","ETH","Zurich","Stiftungsrat","Stiftung zur Föderung der Forschung und Ausbildung in Unternehmenswiss., ETH Zürich","Education & research"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","Bern-Rochester MBA, Teaching","University of Bern","Education & research"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","Mitglied","SNF Forschungsrat","Education & research"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","University of Liechtenstein, Teaching","University of Liechtenstein, Vaduz, Lichtenstein","Education & research"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","Venture Lab - Teaching","Institut fuer Jungunternehmen, St. Gallen","Consulting, public relations, legal & trust"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","Venture Labe","Parc Scientifique EPFL","Education & research"
"Marc","Gruber","ETH Lausanne","EPF","Lausanne","Visiting Professor","Imperial College Business School ","Education & research"
"Nicolas","Gruber","ETH Zürich","ETH","Zurich","Vertreter der ETH im Leitorgan","Association Climate-KIC","Energy, environment & mobility"
"Wilhelm","Gruissem","ETH Zürich","ETH","Zurich","VR-Mandat","Nebion AG","Technology"
"Andreas","Grüner","Uni St. Gallen","USG","Saint Gallen","Gutachter","Akkreditierungsagentur FIBAA","Politics, administration, justice system & security sector"
"Lukas","Gschwend","Uni St. Gallen","USG","Saint Gallen","Mitglied","Unabhängige Expertenkommission Administrative Zwangsmassnahmen","Politics, administration, justice system & security sector"
"Lukas","Gschwend","Uni St. Gallen","USG","Saint Gallen","Präsident der Rechtsquellenstiftung","Schweizerischen Juristenvereins","Commerce, trade & services"
"Lukas","Gschwend","Uni St. Gallen","USG","Saint Gallen","Titularprofessor für Rechtsgeschichte und Rechtsphilosophie","Universität Zürich","Education & research"
"Lukas","Gschwend","Uni St. Gallen","USG","Saint Gallen","Vizepräsident","Zürichsee Landschaftsschutz ZSL","Energy, environment & mobility"
"Rachid","Guerraoui","ETH Lausanne","EPF","Lausanne","Evaluation Agence de la recherche, France","ANR, Paris","Education & research"
"David","Gugerli","Uni Zürich","UZH","Zurich","Stiftungsrat","Stiftung Jüdische Zeitgeschichte","Society, Social, Culture & Sports"
"Harry","Gugger","ETH Lausanne","EPF","Lausanne","Board Director","HGS (Harry Gugger Studio), Basel","Industry, construction & agriculture"
"Harry","Gugger","ETH Lausanne","EPF","Lausanne","Board Member, Academic Committee Member Holcim Foundation","Holcim Group Services Ltd/ Holcim Technology Ltd, Zurich","Commerce, trade & services"
"Harry","Gugger","ETH Lausanne","EPF","Lausanne","Committee Member BSA Forschungsstipendium","BSA CH, Basel","Industry, construction & agriculture"
"Harry","Gugger","ETH Lausanne","EPF","Lausanne","Member of Advisory Board, The Circle at Zurich Airport","Flughafen ZHAG, Zurich","Energy, environment & mobility"
"Harry","Gugger","ETH Lausanne","EPF","Lausanne","Member of the Advisory Board, Studiengang Kulturmanagement Uni Basel","SKM, UniBasel, Basel","Education & research"
"Carlotta","Guiducci","ETH Lausanne","EPF","Lausanne","expertise examen doctorat, science de la vie","Uni de Bâle","Education & research"
"Olivier","Guillod","Uni Neuenburg","UNE","Neuchâtel","Conseil d’administration","Office national (français) d’indemnisation des accidents médicaux","Politics, administration, justice system & security sector"
"Olivier","Guillod","Uni Neuenburg","UNE","Neuchâtel","Conseil d’administration","Swissmedic","Pharma & health"
"Olivier","Guillod","Uni Neuenburg","UNE","Neuchâtel","Cours","MAS en économie et administration de la santé de HEC Lausanne","Education & research"
"Olivier","Guillod","Uni Neuenburg","UNE","Neuchâtel","Prof invité","Uni Paris V Descartes","Education & research"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Director","ETH Singapore SEC Ltd.","Politics, administration, justice system & security sector"
"Detlef","Günther","ETH Zürich","ETH","Zurich","NA","Verein Euresearch","Education & research"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Stiftungsrat","Huber-Kudlich-Stiftung an der Eidgenössischen Technischen Hochschule Zürich","Education & research"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Stiftungsrat","SIB Swiss Institute of Bioinformatics, Lausanne","Education & research"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Stiftungsrat","Stiftung Technopark Zürich","Education & research"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Verwaltungsrat","ETH Zürich SEC AG","Politics, administration, justice system & security sector"
"Detlef","Günther","ETH Zürich","ETH","Zurich","Verwaltungsrat","inspire AG","Technology"
"Detlef","Günther","ETH Zürich","ETH","Zurich","VR-Mandat","GRS Gemresearch Swisslab AG","Not classifiable"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Angestellter Konzernforschung","Sulzer","Industry, construction & agriculture"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Director","ETH Singapore SEC Ltd.","Politics, administration, justice system & security sector"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Leitung der Entwicklungsabteilung für Mechatronik","Hilti","Industry, construction & agriculture"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Mitglied","Schweizerischen Akademie der Technischen Wissenschaften","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Präsident","ETH Zürich","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Erich Degen-Stiftung","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Fondazione Monte Verità","Commerce, trade & services"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Huber-Kudlich-Stiftung an der Eidgenössischen Technischen Hochschule Zürich","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","International Federation of Automatic Control (IFAC) Stiftung","Commerce, trade & services"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Kinderbetreuung im Hochschulraum Zürich (kihz)","Society, Social, Culture & Sports"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Schweizerische Studienstiftung Fonds für begabte junge Menschen","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Swiss University Sports Foundation","Society, Social, Culture & Sports"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Stiftungsrat","Walter Hochstrasser-Stiftung","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Vertreter in der Plenarversammlung und im Vorstand","swissuniversities","Education & research"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Verwaltungsrat","Kistler Holding AG","Industry, construction & agriculture"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Verwaltungsrat","Kistler Instrumente AG","Industry, construction & agriculture"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Verwaltungsrat","Venture Incubator Ltd","Financial industry & insurances"
"Lino","Guzzella","ETH Zürich","ETH","Zurich","Zeichnungsberechtigt","Heyning-Roelli Stiftung","Education & research"
"Ina","Habermann","Uni Basel","UBA","Basel","Mitglied des Stiftungsrates","Telebasel, Basel","Media & communication"
"Ernst","Hafen","ETH Zürich","ETH","Zurich","VR-Mandat","EvalueScience AG","Consulting, public relations, legal & trust"
"Albert","Hafner","Uni Bern","UBE","Bern","NA","Stiftung Charles Neuhaus Biel","Society, Social, Culture & Sports"
"Anders","Hagfeldt","ETH Lausanne","EPF","Lausanne","Board Member","Dyenamo AB, Start-up, Stockholm","Energy, environment & mobility"
"Anders","Hagfeldt","ETH Lausanne","EPF","Lausanne","Chairman of the Committee for Development Research","Swedish Research Council","Education & research"
"Anders","Hagfeldt","ETH Lausanne","EPF","Lausanne","Distinguished Adjunct Professor, Chemistry","King Abdulaziz University, Saudi Arabia","Education & research"
"Anders","Hagfeldt","ETH Lausanne","EPF","Lausanne","Visiting Professor, Energy Research Institute","Nanyang Technological University, Singapore","Education & research"
"Anders","Hagfeldt","ETH Lausanne","EPF","Lausanne","Visiting Professor, Physical Chemistry","Department of Chemistry, Angström, Uppsala University, Sweden","Education & research"
"Philippe A.","Halban","Uni Genf","UGE","Geneva","Conseil scientifique et orateur","sanofi-aventis","Pharma & health"
"Douglas","Hanahan","ETH Lausanne","EPF","Lausanne","Member, Scientific Advisory Board","Shenogen Pharma Group LTD, China","Pharma & health"
